,0,1,class
0,1.4830586637510645,1.9753800959720649,0
1,1.1376647358177319,2.192658625437639,0
2,4.720692178044849,5.899449712808741,1
3,2.5535441296075168,8.6412457196103,3
4,2.534300547269376,6.990716574408266,3
5,3.7030414455014,4.282281743557648,4
6,6.780533154119803,2.3569160349929623,2
7,1.3258319874784223,2.0592166743136775,0
8,5.0283324114176295,4.304404502248372,4
9,4.232724108999198,4.305712353556798,4
10,4.26428706246328,4.517927743772956,4
11,0.5800461338559831,1.3818776077938253,0
12,4.843847866375066,5.888608630039313,1
13,3.4239379434730455,4.751639828928551,4
14,4.13959904777751,6.6016263000292525,1
15,6.390145696900704,2.20882600297485,2
16,2.7406964077618823,8.845933492570838,3
17,3.9397012956908566,3.8284973634480326,4
18,6.514925748362787,1.2697612837044927,2
19,1.1846037631483006,1.690256250424891,0
20,3.068931940306247,7.7573034894544115,3
21,1.3070590198063607,2.495383935343456,0
22,7.068423647050525,2.5163838984892606,2
23,7.443449390550706,2.321637083586528,2
24,3.7635912097163393,3.6296338875348915,4
25,3.268190247860721,4.5410265296839984,4
26,4.597749325921876,4.96323586843242,4
27,1.622988069811744,1.3469310913576313,0
28,2.6071079472621155,8.586573410750425,3
29,6.705831696972421,2.038113215140592,2
30,0.14038879722815045,1.680440757172661,0
31,3.8707551132074762,3.4319142404462557,4
32,5.481415041839084,5.704409360172471,1
33,3.3926137507221186,4.070935227880776,4
34,3.3563790117925985,4.455084011352709,4
35,1.7049890346568288,1.4753381615673693,0
36,2.2771416127551207,8.287217670043237,3
37,5.7003946007756,5.458288184505789,1
38,4.9037245859688205,6.729722757842684,1
39,1.486200235265592,2.352451259090617,0
40,4.136644347274403,4.315036420962782,4
41,4.320581772637498,3.7130760071954123,4
42,4.132554749968894,4.131758017906632,4
43,4.145198290964405,3.7396019791628103,4
44,7.047798205979124,2.4809795409676427,2
45,5.64818447107096,6.536501615350207,1
46,7.419108120513242,1.9469656357500376,2
47,4.412718386037092,4.7732386451266535,1
48,4.032254490813766,4.44821198549605,4
49,6.777889859548394,2.5883961736318932,2
50,6.472909536509078,1.6099853635563168,2
51,0.9300989897442944,2.560015213839043,0
52,3.1860478944626602,8.091480981799872,3
53,1.3239166794658692,2.449868173353885,0
54,0.5259182064854182,1.9772245515349987,0
55,2.288354035976164,4.4581765025238225,4
56,2.964451546203147,4.140997656107428,4
57,5.664128260843254,5.649743229026765,1
58,1.9660625902666684,9.144135614646288,3
59,4.962844461741423,6.076894517298549,1
60,2.1966068537239583,2.66081974776658,0
61,2.863158844305984,3.2990170242324464,4
62,4.160915467583876,3.76564562510289,4
63,0.12239022854696013,2.3779721655959927,0
64,5.09401029963667,5.308977941727697,1
65,0.19522817512417023,1.5562749402312066,0
66,0.8629779562207295,2.4144097678020415,0
67,7.209072216006561,2.4012923371974857,2
68,5.046104201864897,5.539802245976467,1
69,3.075904205758186,8.572617445977627,3
70,4.481799148797804,4.174006229230166,4
71,7.256214272445173,2.529542970168756,2
72,1.3214875572053353,2.22822781219517,0
73,6.974090403910418,2.1664802676268917,2
74,3.2371880385749656,6.075056823887225,1
75,1.1691554490880403,1.5917445615556423,0
76,3.5160469014255025,4.01273418639586,4
77,7.47843228710763,1.5115173559657145,2
78,2.013814292834107,2.438584883421545,0
79,6.352154503313541,5.458178220225037,1
80,3.2581724885750045,3.644772650111173,4
81,3.0012243867392163,7.612648591657116,3
82,2.597734207724734,8.439225123409695,3
83,3.982087495308161,3.595784117060229,4
84,2.0047420696122793,8.097547369632009,3
85,0.932194336658221,1.399544364532983,0
86,3.9732010401263422,4.42791343306273,4
87,4.159505079500189,6.054873982121429,1
88,2.4656904833068953,7.671735397961677,3
89,6.807960685077141,2.1706169370412876,2
90,6.167628282669075,2.260122740141967,2
91,5.227103917294867,6.269286810566075,1
92,3.4232487208219475,4.0797771621729915,4
93,5.885699692354743,1.5810958435532214,2
94,2.2935791665350163,8.502874210110123,3
95,5.222961285678547,4.480883119962586,1
96,1.7204965527207032,1.8129596233665781,0
